invoice_no,quantity,price,invoice_date,shopping_mall
I320251,1,300.08,2/3/2023,Mall of Istanbul
I238335,5,179.2,5/10/2021,Kanyon
I325378,1,5.23,9/6/2021,Kanyon
I325473,1,40.66,30/07/2022,Kanyon
I975823,1,5.23,3/12/2022,Metrocity
I234018,2,81.32,29/01/2022,Kanyon
I887093,1,300.08,15/10/2021,Cevahir AVM
I223678,3,900.24,23/03/2021,Mall of Istanbul
I173131,2,600.16,21/06/2021,Kanyon
I227098,4,1200.32,30/11/2021,Kanyon
I329231,2,81.32,28/08/2022,Mall of Istanbul
I243076,3,1800.51,25/07/2022,Kanyon
I526458,2,600.16,24/01/2021,Kanyon
I293119,2,600.16,31/08/2021,Forum Istanbul
I176738,5,3000.85,21/08/2021,Istinye Park
I527193,1,35.84,26/01/2021,Kanyon
I122464,5,1500.4,8/4/2021,Mall of Istanbul
I116330,5,1500.4,16/07/2021,Kanyon
I216345,1,5.23,5/3/2021,Zorlu Center
I877251,5,1500.4,22/08/2022,Kanyon
I226798,1,5.23,22/02/2022,Mall of Istanbul
I152693,2,30.3,9/1/2021,Metropol AVM
I958210,3,121.98,2/6/2021,Mall of Istanbul
I294654,1,40.66,18/11/2021,Kanyon
I339707,5,1500.4,16/11/2021,Kanyon
I462084,4,1200.32,2/11/2021,Metrocity
I141706,2,71.68,28/07/2022,Cevahir AVM
I289512,4,162.64,1/1/2022,Kanyon
I329674,3,900.24,12/1/2023,Istinye Park
I317150,2,23.46,18/04/2022,Kanyon
I409624,1,1050,21/10/2022,Emaar Square Mall
I118296,4,162.64,26/02/2023,Mall of Istanbul
I123242,2,10.46,14/04/2022,Mall of Istanbul
I275701,1,300.08,1/8/2022,Emaar Square Mall
I189484,5,26.15,18/11/2022,Mall of Istanbul
I879075,4,1200.32,3/8/2021,Zorlu Center
I199644,2,23.46,2/8/2021,Metropol AVM
I281065,2,81.32,5/2/2023,Forum Istanbul
I762220,2,1200.34,25/11/2022,Zorlu Center
I293501,1,40.66,8/6/2022,Viaport Outlet
I924201,5,203.3,15/11/2022,Mall of Istanbul
I287112,4,1200.32,11/2/2021,Kanyon
I230795,4,1200.32,3/5/2021,Forum Istanbul
I231737,2,10.46,1/11/2022,Kanyon
I131135,2,600.16,20/09/2022,Kanyon
I309855,2,2100,1/8/2022,Zorlu Center
I249265,1,5.23,29/01/2021,Kanyon
I250361,5,203.3,25/04/2022,Kanyon
I230289,4,1200.32,25/01/2021,Metrocity
I149849,5,1500.4,20/09/2021,Forum Istanbul
I271695,4,1200.32,13/12/2022,Metrocity
I229207,2,30.3,12/1/2022,Forum Istanbul
I115435,5,179.2,26/12/2022,Mall of Istanbul
I617257,1,35.84,5/11/2021,Kanyon
I326663,3,35.19,4/6/2021,Cevahir AVM
I284864,3,15.69,12/9/2022,Metropol AVM
I133462,5,58.65,11/8/2022,Mall of Istanbul
I237444,5,5250,10/3/2022,Kanyon
I176856,5,26.15,2/5/2021,Zorlu Center
I142346,1,11.73,27/02/2022,Mall of Istanbul
I111676,3,900.24,12/5/2022,Metropol AVM
I998895,2,81.32,3/10/2021,Metropol AVM
I295557,2,600.16,7/7/2022,Kanyon
I164765,1,35.84,10/5/2021,Metrocity
I125378,3,1800.51,30/10/2022,Kanyon
I205990,1,40.66,6/1/2023,Kanyon
I330967,1,15.15,25/04/2022,Emaar Square Mall
I221561,4,1200.32,12/3/2021,Mall of Istanbul
I252730,1,300.08,22/10/2022,Cevahir AVM
I200265,2,81.32,5/2/2023,Metrocity
I184314,4,20.92,14/12/2021,Viaport Outlet
I213806,2,600.16,5/12/2022,Viaport Outlet
I217081,4,2400.68,19/10/2021,Mall of Istanbul
I169142,1,40.66,6/11/2021,Zorlu Center
I317206,4,1200.32,7/9/2022,Viaport Outlet
I191626,2,10.46,7/4/2021,Emaar Square Mall
I120547,5,1500.4,15/01/2021,Metrocity
I803239,4,20.92,1/4/2022,Emaar Square Mall
I199720,3,121.98,24/01/2021,Viaport Outlet
I153336,2,2100,17/04/2022,Kanyon
I100284,2,600.16,13/08/2022,Kanyon
I237739,3,15.69,19/09/2021,Mall of Istanbul
I189170,2,600.16,12/4/2021,Kanyon
I313949,4,1200.32,5/6/2022,Mall of Istanbul
I229274,1,5.23,10/6/2022,Kanyon
I533759,3,121.98,25/08/2022,Istinye Park
I845743,3,15.69,2/8/2022,Metrocity
I649143,3,900.24,27/06/2022,Mall of Istanbul
I282374,1,600.17,8/10/2022,Kanyon
I194064,5,58.65,29/05/2021,Istinye Park
I209216,4,162.64,22/05/2021,Zorlu Center
I593555,3,3150,28/05/2021,Metrocity
I368245,5,179.2,22/11/2021,Kanyon
I321047,2,600.16,9/1/2021,Metrocity
I173714,1,600.17,9/8/2022,Kanyon
I920613,1,11.73,20/08/2021,Zorlu Center
I990027,5,1500.4,12/4/2021,Metropol AVM
I728134,5,203.3,30/07/2022,Metrocity
I768122,4,20.92,21/08/2021,Metropol AVM
I801314,4,1200.32,28/07/2022,Metropol AVM
I173705,2,30.3,31/05/2022,Emaar Square Mall
I196160,1,5.23,16/10/2022,Istinye Park
I300001,3,35.19,12/1/2022,Istinye Park
I478347,2,600.16,15/09/2022,Metropol AVM
I212902,2,2100,14/09/2022,Forum Istanbul
I777035,3,15.69,26/09/2021,Viaport Outlet
I267686,2,600.16,4/8/2022,Kanyon
I217228,1,600.17,15/03/2021,Emaar Square Mall
I220576,4,1200.32,18/02/2022,Metrocity
I156686,1,300.08,9/2/2023,Metrocity
I132351,3,15.69,6/2/2022,Metrocity
I117027,2,600.16,9/2/2022,Metrocity
I129040,2,81.32,12/11/2021,Viaport Outlet
I213740,5,5250,13/09/2022,Istinye Park
I107546,3,35.19,5/3/2021,Kanyon
I401505,4,4200,17/05/2022,Mall of Istanbul
I164370,1,300.08,5/2/2021,Mall of Istanbul
I267321,3,3150,26/04/2022,Mall of Istanbul
I255623,3,900.24,8/12/2021,Forum Istanbul
I335506,5,1500.4,31/08/2021,Metrocity
I203796,5,26.15,28/07/2022,Metrocity
I700190,5,26.15,28/02/2022,Kanyon
I246927,3,121.98,11/10/2021,Kanyon
I254240,2,30.3,30/03/2021,Emaar Square Mall
I255757,1,600.17,26/12/2022,Kanyon
I180474,4,1200.32,26/10/2022,Mall of Istanbul
I277816,4,2400.68,13/01/2021,Metropol AVM
I282181,1,600.17,19/04/2021,Istinye Park
I264131,5,26.15,2/2/2022,Forum Istanbul
I799317,3,1800.51,27/11/2021,Metrocity
I179000,2,81.32,30/04/2021,Viaport Outlet
I612820,5,1500.4,21/04/2022,Mall of Istanbul
I518527,4,162.64,25/02/2021,Forum Istanbul
I231182,5,1500.4,10/11/2022,Mall of Istanbul
I314815,2,600.16,11/9/2021,Forum Istanbul
I144671,1,35.84,2/3/2022,Metrocity
I327417,5,5250,28/10/2021,Metropol AVM
I241275,4,162.64,18/06/2022,Istinye Park
I219796,2,71.68,28/02/2021,Zorlu Center
I262352,5,3000.85,29/08/2022,Viaport Outlet
I423567,3,900.24,1/8/2021,Mall of Istanbul
I321409,1,15.15,23/02/2021,Metropol AVM
I104206,5,26.15,24/01/2023,Metrocity
I175746,5,1500.4,14/05/2022,Mall of Istanbul
I150402,5,26.15,24/09/2022,Metrocity
I182593,4,1200.32,23/12/2022,Kanyon
I578873,2,600.16,20/11/2022,Kanyon
I209543,2,23.46,14/08/2022,Forum Istanbul
I787402,1,300.08,5/3/2023,Kanyon
I278369,1,300.08,11/5/2022,Metrocity
I234581,4,162.64,15/08/2022,Kanyon
I250709,3,35.19,28/12/2021,Viaport Outlet
I449544,2,71.68,5/1/2021,Metropol AVM
I341543,5,1500.4,1/1/2022,Metrocity
I177607,3,35.19,17/12/2022,Forum Istanbul
I109455,4,143.36,12/6/2022,Metropol AVM
I911979,1,300.08,25/06/2021,Kanyon
I318434,4,162.64,29/12/2022,Istinye Park
I423570,5,3000.85,24/05/2022,Kanyon
I869059,1,40.66,7/4/2021,Kanyon
I264442,3,900.24,20/02/2022,Metrocity
I318037,4,162.64,8/7/2022,Metropol AVM
I138488,5,1500.4,3/10/2022,Metrocity
I326603,3,900.24,15/07/2022,Mall of Istanbul
I324850,4,143.36,6/9/2021,Istinye Park
I979889,5,203.3,22/06/2021,Metrocity
I228494,3,15.69,4/12/2021,Istinye Park
I125875,2,600.16,26/10/2022,Kanyon
I177441,4,1200.32,8/1/2021,Emaar Square Mall
I361090,4,20.92,24/02/2022,Kanyon
I350274,3,900.24,19/05/2021,Metrocity
I103495,1,300.08,25/04/2022,Kanyon
I577383,4,20.92,5/3/2022,Metropol AVM
I299265,3,1800.51,7/12/2022,Kanyon
I148603,3,107.52,4/3/2023,Istinye Park
I325477,2,600.16,21/06/2022,Kanyon
I917339,3,15.69,4/2/2021,Metrocity
I189298,2,81.32,16/02/2023,Metrocity
I250697,5,1500.4,12/2/2023,Mall of Istanbul
I523615,4,20.92,7/11/2022,Forum Istanbul
I101031,4,162.64,18/11/2021,Metropol AVM
I301472,5,58.65,9/8/2022,Mall of Istanbul
I302138,5,179.2,8/2/2023,Metrocity
I266217,4,1200.32,29/05/2021,Viaport Outlet
I176050,5,26.15,2/11/2022,Metropol AVM
I290939,2,10.46,19/06/2022,Mall of Istanbul
I307926,3,45.45,7/12/2022,Istinye Park
I115817,1,40.66,6/12/2021,Kanyon
I261413,4,1200.32,23/04/2022,Viaport Outlet
I221721,2,81.32,3/4/2022,Metrocity
I230667,5,179.2,10/1/2023,Metrocity
I177235,2,81.32,13/12/2021,Mall of Istanbul
I155376,1,300.08,9/2/2021,Kanyon
I577819,1,5.23,11/5/2021,Metrocity
I128977,1,1050,27/10/2021,Mall of Istanbul
I223223,1,300.08,3/11/2022,Mall of Istanbul
I279498,4,20.92,27/07/2021,Istinye Park
I259112,1,300.08,24/12/2022,Metropol AVM
I332722,3,900.24,25/11/2021,Emaar Square Mall
I193188,5,1500.4,4/8/2022,Metrocity
I260267,4,162.64,28/04/2021,Istinye Park
I261232,3,900.24,30/04/2022,Kanyon
I743259,3,900.24,23/03/2022,Mall of Istanbul
I680150,3,3150,19/09/2021,Kanyon
I224640,1,11.73,19/04/2022,Kanyon
I852000,5,1500.4,7/3/2021,Kanyon
I201651,3,121.98,16/12/2021,Metrocity
I970266,4,2400.68,12/11/2022,Metrocity
I730089,3,15.69,28/08/2022,Kanyon
I307241,5,203.3,2/10/2021,Cevahir AVM
I104671,3,900.24,7/12/2022,Kanyon
I178936,5,58.65,4/10/2021,Zorlu Center
I312784,3,900.24,9/8/2022,Mall of Istanbul
I726259,5,179.2,30/08/2022,Cevahir AVM
I138894,5,1500.4,12/4/2021,Forum Istanbul
I154090,5,179.2,7/9/2021,Mall of Istanbul
I267941,1,35.84,15/08/2021,Istinye Park
I283325,2,10.46,18/03/2022,Metrocity
I225121,1,5.23,14/10/2022,Cevahir AVM
I171401,5,1500.4,30/08/2022,Metrocity
I315081,3,15.69,17/05/2021,Kanyon
I217255,4,143.36,4/2/2022,Istinye Park
I210133,1,5.23,31/05/2021,Mall of Istanbul
I608950,5,3000.85,19/05/2021,Kanyon
I142264,4,1200.32,25/12/2022,Mall of Istanbul
I333352,5,179.2,7/11/2022,Kanyon
I593627,4,46.92,5/8/2022,Kanyon
I254463,3,900.24,4/6/2022,Istinye Park
I253737,2,71.68,10/4/2021,Metropol AVM
I660595,3,121.98,17/06/2022,Kanyon
I170845,5,1500.4,7/1/2023,Metrocity
I324385,1,15.15,7/1/2023,Mall of Istanbul
I248872,5,75.75,6/5/2022,Mall of Istanbul
I105945,3,15.69,31/01/2021,Metrocity
I223975,1,600.17,4/10/2022,Zorlu Center
I713581,4,162.64,17/06/2021,Mall of Istanbul
I192918,3,107.52,20/01/2023,Mall of Istanbul
I201673,4,143.36,1/12/2022,Metrocity
I164540,2,23.46,22/01/2023,Viaport Outlet
I106573,4,162.64,30/01/2023,Kanyon
I169180,5,1500.4,17/03/2022,Kanyon
I258807,2,81.32,6/10/2021,Mall of Istanbul
I129192,1,40.66,20/02/2023,Metrocity
I161518,1,35.84,7/2/2023,Mall of Istanbul
I163654,1,300.08,1/7/2021,Forum Istanbul
I236686,5,75.75,30/08/2021,Viaport Outlet
I310766,5,203.3,18/11/2022,Metrocity
I718982,5,26.15,8/3/2021,Istinye Park
I113272,2,600.16,19/11/2021,Mall of Istanbul
I588072,1,40.66,25/09/2022,Cevahir AVM
I236079,5,1500.4,9/6/2022,Mall of Istanbul
I206235,2,600.16,28/11/2022,Kanyon
I236337,1,300.08,11/1/2022,Kanyon
I123687,4,20.92,26/01/2021,Mall of Istanbul
I618193,2,30.3,7/8/2021,Metrocity
I255892,1,35.84,20/09/2021,Istinye Park
I228702,1,40.66,23/04/2022,Kanyon
I170450,3,15.69,23/02/2021,Mall of Istanbul
I184270,4,1200.32,25/10/2022,Forum Istanbul
I126792,1,300.08,16/07/2022,Zorlu Center
I303246,1,15.15,16/01/2021,Mall of Istanbul
I368744,5,3000.85,18/11/2022,Istinye Park
I763151,2,10.46,21/04/2021,Istinye Park
I294205,2,10.46,15/08/2022,Mall of Istanbul
I186935,3,107.52,30/10/2021,Kanyon
I154663,4,60.6,31/12/2022,Kanyon
I116587,3,3150,17/10/2022,Kanyon
I193511,3,107.52,5/4/2021,Kanyon
I150512,4,1200.32,4/12/2022,Metrocity
I967036,2,81.32,18/01/2021,Kanyon
I541303,1,300.08,26/08/2021,Mall of Istanbul
I116789,3,121.98,13/08/2022,Mall of Istanbul
I280880,2,71.68,17/05/2022,Zorlu Center
I270554,1,300.08,25/05/2022,Mall of Istanbul
I327829,4,162.64,9/10/2021,Istinye Park
I186031,4,143.36,11/4/2022,Mall of Istanbul
I238075,1,40.66,10/7/2021,Mall of Istanbul
I300348,1,35.84,23/08/2022,Kanyon
I216470,2,81.32,25/12/2021,Metrocity
I874589,5,26.15,25/03/2022,Kanyon
I209282,4,20.92,26/09/2021,Metrocity
I164746,2,600.16,22/04/2022,Metrocity
I198395,1,5.23,14/03/2021,Mall of Istanbul
I246952,5,203.3,9/2/2021,Mall of Istanbul
I220666,5,1500.4,30/12/2021,Viaport Outlet
I952480,3,107.52,20/11/2021,Kanyon
I319782,1,300.08,8/2/2021,Zorlu Center
I315590,5,1500.4,28/02/2021,Viaport Outlet
I192093,5,1500.4,25/09/2021,Istinye Park
I328216,4,1200.32,12/5/2022,Kanyon
I201286,2,81.32,11/9/2022,Kanyon
I721443,1,5.23,29/10/2022,Mall of Istanbul
I173997,4,20.92,2/3/2022,Zorlu Center
I221434,2,600.16,23/10/2022,Metrocity
I161332,2,10.46,24/09/2021,Metropol AVM
I214663,2,600.16,10/3/2022,Kanyon
I234650,4,4200,3/1/2021,Mall of Istanbul
I278540,1,40.66,4/7/2021,Istinye Park
I230157,1,5.23,12/10/2021,Istinye Park
I956026,3,900.24,11/10/2021,Viaport Outlet
I115193,2,10.46,2/5/2021,Kanyon
I166419,4,162.64,26/01/2022,Mall of Istanbul
I661706,2,81.32,24/09/2021,Kanyon
I189750,1,300.08,27/04/2022,Metrocity
I333260,5,1500.4,28/03/2022,Kanyon
I339850,3,15.69,22/12/2021,Kanyon
I170719,3,121.98,3/2/2023,Metrocity
I119926,1,300.08,28/04/2021,Metrocity
I596442,1,300.08,4/9/2022,Metrocity
I225587,4,1200.32,15/08/2022,Mall of Istanbul
I265033,3,45.45,8/8/2021,Istinye Park
I980681,2,1200.34,4/11/2022,Viaport Outlet
I185375,3,107.52,6/8/2022,Istinye Park
I121237,4,143.36,17/02/2022,Metrocity
I181475,3,35.19,30/01/2021,Mall of Istanbul
I401606,4,2400.68,15/03/2022,Istinye Park
I333537,5,3000.85,11/1/2023,Metrocity
I280410,5,1500.4,2/9/2022,Mall of Istanbul
I279744,1,300.08,2/6/2021,Mall of Istanbul
I122516,2,600.16,15/05/2021,Forum Istanbul
I207868,3,15.69,23/04/2021,Cevahir AVM
I326321,5,3000.85,10/11/2021,Mall of Istanbul
I284991,5,26.15,20/07/2022,Mall of Istanbul
I331864,2,600.16,9/8/2022,Metropol AVM
I325179,2,10.46,1/7/2022,Mall of Istanbul
I231495,1,35.84,8/7/2021,Cevahir AVM
I287653,4,143.36,23/05/2022,Kanyon
I346820,4,2400.68,4/11/2022,Metropol AVM
I225988,5,1500.4,30/07/2021,Istinye Park
I181648,3,15.69,7/10/2021,Metrocity
I109743,2,81.32,28/08/2021,Istinye Park
I201264,4,20.92,6/5/2022,Metrocity
I105504,1,35.84,26/01/2022,Metrocity
I167069,3,107.52,10/7/2021,Mall of Istanbul
I310714,1,5.23,4/4/2021,Mall of Istanbul
I165889,5,179.2,5/1/2023,Zorlu Center
I571618,2,30.3,4/8/2021,Metrocity
I476852,3,45.45,18/04/2021,Mall of Istanbul
I199199,4,143.36,26/02/2023,Viaport Outlet
I263101,1,15.15,8/2/2023,Viaport Outlet
I883036,4,60.6,7/10/2022,Metrocity
I691912,5,1500.4,4/10/2021,Kanyon
I634904,4,60.6,3/1/2023,Kanyon
I258393,3,900.24,30/12/2021,Kanyon
I934221,4,20.92,13/04/2022,Kanyon
I264260,5,179.2,30/11/2022,Metrocity
I214091,2,2100,9/10/2021,Metrocity
I200523,5,203.3,12/10/2022,Mall of Istanbul
I163341,5,1500.4,15/07/2021,Metropol AVM
I311206,4,143.36,23/08/2022,Metropol AVM
I413887,1,300.08,22/02/2021,Metropol AVM
I288940,5,75.75,14/01/2021,Kanyon
I298160,2,10.46,1/4/2022,Zorlu Center
I307838,4,1200.32,6/10/2022,Mall of Istanbul
I560867,1,1050,29/07/2021,Kanyon
I551066,5,26.15,15/01/2021,Forum Istanbul
I504667,1,300.08,31/08/2022,Kanyon
I574835,5,26.15,30/04/2021,Metrocity
I263062,2,30.3,17/04/2021,Metropol AVM
I333871,3,121.98,10/10/2022,Mall of Istanbul
I122421,2,600.16,25/05/2022,Metropol AVM
I317789,1,300.08,28/09/2021,Mall of Istanbul
I568482,2,71.68,16/01/2022,Mall of Istanbul
I107737,1,300.08,1/12/2021,Metrocity
I315718,4,1200.32,2/6/2022,Forum Istanbul
I134398,5,1500.4,24/03/2021,Metropol AVM
I755483,1,35.84,5/8/2021,Kanyon
I154021,4,20.92,2/3/2021,Kanyon
I742734,2,81.32,3/5/2021,Kanyon
I289352,1,300.08,25/03/2021,Cevahir AVM
I220826,2,30.3,9/12/2022,Kanyon
I278639,3,15.69,16/01/2021,Kanyon
I306882,5,3000.85,25/01/2021,Kanyon
I249002,5,1500.4,9/1/2021,Mall of Istanbul
I979850,1,40.66,26/03/2021,Kanyon
I100961,2,600.16,27/04/2022,Forum Istanbul
I297530,2,600.16,21/10/2022,Metrocity
I127782,5,1500.4,27/01/2022,Kanyon
I331173,3,900.24,23/10/2021,Metropol AVM
I804938,4,46.92,5/8/2021,Emaar Square Mall
I131707,3,15.69,30/06/2021,Mall of Istanbul
I139498,3,900.24,12/12/2021,Kanyon
I225556,1,600.17,2/5/2021,Kanyon
I365968,4,1200.32,25/01/2021,Cevahir AVM
I702525,5,26.15,18/07/2021,Mall of Istanbul
I824158,5,179.2,13/04/2022,Kanyon
I305897,4,162.64,30/04/2022,Kanyon
I118718,4,162.64,13/01/2021,Kanyon
I103978,5,5250,3/2/2021,Kanyon
I122101,3,900.24,30/01/2022,Kanyon
I540279,5,26.15,30/01/2023,Emaar Square Mall
I185539,4,20.92,28/11/2021,Kanyon
I924829,3,107.52,13/05/2022,Mall of Istanbul
I168232,5,203.3,21/02/2021,Mall of Istanbul
I482126,2,23.46,6/9/2022,Viaport Outlet
I226096,4,1200.32,2/5/2021,Metrocity
I113336,2,2100,11/5/2022,Cevahir AVM
I566498,5,203.3,4/10/2021,Istinye Park
I339059,3,15.69,13/12/2022,Kanyon
I702354,3,107.52,16/10/2021,Metrocity
I110440,1,300.08,7/12/2021,Kanyon
I155310,2,71.68,6/5/2021,Metropol AVM
I162668,2,600.16,8/4/2021,Metropol AVM
I319412,4,46.92,30/08/2022,Metrocity
I335928,3,15.69,12/2/2021,Zorlu Center
I894066,4,1200.32,31/12/2022,Istinye Park
I815222,2,2100,15/02/2023,Metropol AVM
I207871,2,600.16,31/01/2023,Kanyon
I338732,3,107.52,21/04/2022,Metrocity
I754875,4,1200.32,19/05/2021,Forum Istanbul
I293909,5,3000.85,27/04/2021,Forum Istanbul
I311157,5,75.75,9/9/2021,Mall of Istanbul
I295840,2,81.32,14/09/2021,Metrocity
I222804,3,35.19,16/12/2021,Metrocity
I313722,5,1500.4,28/04/2021,Metropol AVM
I882662,4,2400.68,6/10/2021,Metrocity
I578562,1,300.08,15/04/2021,Forum Istanbul
I164112,5,1500.4,2/5/2021,Cevahir AVM
I230471,1,300.08,3/6/2022,Metrocity
I705069,3,15.69,21/09/2021,Metropol AVM
I315606,3,15.69,29/10/2022,Mall of Istanbul
I301653,4,143.36,21/01/2022,Kanyon
I195389,4,20.92,19/07/2022,Kanyon
I169225,4,60.6,3/10/2021,Forum Istanbul
I288528,3,1800.51,28/11/2021,Istinye Park
I297626,5,1500.4,30/07/2022,Mall of Istanbul
I279766,3,900.24,27/12/2021,Istinye Park
I144505,4,1200.32,28/04/2021,Kanyon
I316717,4,1200.32,21/10/2022,Kanyon
I217346,1,35.84,10/12/2021,Mall of Istanbul
I110434,5,179.2,18/01/2023,Metrocity
I164557,5,1500.4,9/6/2022,Kanyon
I184432,4,1200.32,16/12/2022,Metropol AVM
I149108,1,35.84,5/1/2022,Kanyon
I130687,4,20.92,12/12/2021,Mall of Istanbul
I303306,2,10.46,16/07/2022,Istinye Park
I237596,5,5250,18/05/2022,Kanyon
I844721,2,600.16,13/09/2021,Istinye Park
I113425,4,20.92,10/4/2021,Emaar Square Mall
I645730,3,900.24,11/11/2021,Mall of Istanbul
I839781,2,600.16,13/02/2022,Kanyon
I302955,2,600.16,26/02/2023,Mall of Istanbul
I806261,5,26.15,3/12/2021,Istinye Park
I209631,5,179.2,31/01/2023,Metrocity
I665588,4,46.92,15/07/2021,Zorlu Center
I401633,3,35.19,9/4/2021,Metrocity
I710776,2,10.46,29/10/2021,Istinye Park
I192763,5,1500.4,22/01/2022,Viaport Outlet
I382744,1,5.23,1/12/2022,Kanyon
I157914,4,162.64,24/11/2021,Kanyon
I107047,4,60.6,5/3/2023,Kanyon
I306865,3,900.24,12/11/2022,Emaar Square Mall
I298528,1,600.17,29/06/2022,Kanyon
I241607,3,900.24,22/02/2021,Kanyon
I164935,5,203.3,16/05/2022,Kanyon
I103130,5,1500.4,28/09/2021,Metrocity
I234588,1,5.23,14/11/2022,Metrocity
I272653,1,300.08,1/8/2022,Kanyon
I144076,1,5.23,1/12/2022,Kanyon
I469351,4,20.92,12/2/2021,Istinye Park
I241319,2,23.46,14/08/2022,Kanyon
I734138,3,15.69,10/12/2022,Mall of Istanbul
I273204,2,23.46,17/06/2022,Kanyon
I217332,2,81.32,5/11/2021,Kanyon
I107662,5,3000.85,17/06/2022,Istinye Park
I274897,3,900.24,28/02/2023,Kanyon
I103825,1,40.66,20/09/2022,Metropol AVM
I235119,4,2400.68,23/11/2021,Kanyon
I321487,5,75.75,9/11/2022,Metrocity
I181741,3,900.24,12/3/2021,Kanyon
I317350,5,1500.4,2/2/2021,Metropol AVM
I121528,1,300.08,12/1/2022,Mall of Istanbul
I257458,4,1200.32,19/06/2022,Cevahir AVM
I183650,5,1500.4,28/07/2022,Mall of Istanbul
I284198,4,20.92,10/11/2022,Forum Istanbul
I336403,3,121.98,27/04/2022,Kanyon
I316323,2,600.16,12/12/2021,Mall of Istanbul
I147202,4,4200,15/05/2022,Mall of Istanbul
I646004,1,11.73,7/2/2021,Mall of Istanbul
I290465,4,20.92,14/11/2022,Metropol AVM
I186718,2,81.32,9/8/2021,Metrocity
I114255,5,3000.85,15/12/2021,Istinye Park
I171341,4,20.92,7/9/2021,Mall of Istanbul
I177402,1,300.08,23/12/2022,Metrocity
I188216,5,1500.4,15/02/2023,Metrocity
I133386,5,179.2,9/1/2023,Forum Istanbul
I210502,3,900.24,12/10/2021,Forum Istanbul
I207419,5,179.2,3/2/2022,Forum Istanbul
I142265,5,3000.85,26/06/2022,Mall of Istanbul
I320138,1,300.08,17/12/2022,Metrocity
I302841,2,2100,25/01/2022,Mall of Istanbul
I310551,4,162.64,29/03/2021,Forum Istanbul
I155585,3,1800.51,18/01/2023,Kanyon
I336227,2,600.16,14/06/2021,Cevahir AVM
I328722,4,143.36,16/04/2021,Istinye Park
I275910,3,107.52,4/7/2022,Kanyon
I268079,2,600.16,22/01/2023,Istinye Park
I338723,4,2400.68,28/06/2021,Mall of Istanbul
I257835,4,143.36,17/02/2023,Metropol AVM
I168993,4,162.64,26/09/2022,Mall of Istanbul
I302790,5,1500.4,21/11/2021,Kanyon
I906672,1,300.08,15/01/2022,Metrocity
I322668,3,1800.51,4/3/2023,Istinye Park
I898026,1,11.73,30/07/2021,Kanyon
I275385,4,143.36,23/07/2022,Mall of Istanbul
I117402,5,1500.4,19/08/2022,Metrocity
I247518,2,30.3,29/08/2021,Metropol AVM
I331351,4,20.92,4/9/2021,Kanyon
I434905,1,35.84,30/01/2022,Metropol AVM
I232796,5,3000.85,19/09/2022,Metrocity
I192459,2,1200.34,28/05/2022,Metropol AVM
I124648,1,300.08,4/6/2021,Mall of Istanbul
I126465,5,1500.4,2/10/2022,Forum Istanbul
I229737,2,600.16,12/3/2022,Metrocity
I299952,1,15.15,14/04/2022,Kanyon
I318352,5,1500.4,21/06/2021,Emaar Square Mall
I731079,4,143.36,21/08/2022,Kanyon
I202655,5,58.65,8/2/2022,Cevahir AVM
I289294,4,162.64,1/11/2021,Viaport Outlet
I227273,1,600.17,31/07/2021,Istinye Park
I122743,3,900.24,19/09/2022,Zorlu Center
I149471,4,1200.32,19/11/2021,Istinye Park
I336952,3,121.98,10/9/2022,Forum Istanbul
I409320,5,1500.4,19/01/2022,Mall of Istanbul
I220678,2,1200.34,22/03/2022,Zorlu Center
I307592,3,15.69,8/8/2021,Metrocity
I207843,4,1200.32,9/9/2022,Cevahir AVM
I710090,5,3000.85,11/12/2021,Istinye Park
I179168,4,2400.68,18/04/2022,Kanyon
I229049,1,40.66,18/02/2022,Metrocity
I982611,1,600.17,12/5/2022,Mall of Istanbul
I233919,5,1500.4,29/03/2022,Metrocity
I133573,3,107.52,23/03/2022,Mall of Istanbul
I451093,1,300.08,8/9/2021,Viaport Outlet
I530484,4,46.92,19/08/2022,Zorlu Center
I245369,2,71.68,11/2/2021,Mall of Istanbul
I173438,2,81.32,2/10/2022,Metrocity
I314594,2,600.16,14/06/2022,Kanyon
I309832,1,300.08,17/02/2023,Istinye Park
I151035,1,600.17,18/04/2022,Istinye Park
I324472,3,107.52,28/07/2021,Metrocity
I272480,5,26.15,19/09/2021,Metropol AVM
I332752,2,600.16,15/08/2022,Emaar Square Mall
I160945,3,900.24,30/10/2022,Istinye Park
I427831,1,40.66,5/4/2022,Istinye Park
I117506,2,600.16,25/12/2021,Forum Istanbul
I304875,2,600.16,20/04/2022,Metrocity
I188283,4,20.92,19/09/2021,Metrocity
I290887,4,2400.68,19/03/2022,Zorlu Center
I325467,5,3000.85,23/12/2022,Istinye Park
I932367,4,162.64,13/10/2022,Kanyon
I167354,2,71.68,22/11/2022,Mall of Istanbul
I266588,2,2100,18/04/2021,Mall of Istanbul
I176075,1,40.66,16/06/2022,Istinye Park
I569866,3,1800.51,26/11/2022,Zorlu Center
I188172,4,1200.32,20/04/2022,Mall of Istanbul
I150648,1,300.08,18/07/2022,Metrocity
I942785,4,162.64,28/03/2022,Kanyon
I243850,1,11.73,22/01/2022,Forum Istanbul
I814493,1,600.17,10/11/2022,Mall of Istanbul
I119164,1,35.84,6/2/2023,Metrocity
I483645,5,179.2,10/6/2022,Cevahir AVM
I323684,2,10.46,5/2/2023,Mall of Istanbul
